continent,iso_3166_1_a2
AS,AF
EU,AL
AN,AQ
AF,DZ
OC,AS
EU,AD
AF,AO
NA,AG
AS,AZ
EU,AZ
SA,AR
OC,AU
EU,AT
NA,BS
AS,BH
AS,BD
AS,AM
EU,AM
NA,BB
EU,BE
NA,BM
AS,BT
SA,BO
EU,BA
AF,BW
AN,BV
SA,BR
NA,BZ
AF,IO
OC,SB
NA,VG
AS,BN
EU,BG
AS,MM
AF,BI
EU,BY
AS,KH
AF,CM
NA,CA
AF,CV
NA,KY
AF,CF
AS,LK
AF,TD
SA,CL
AS,CN
AS,TW
AS,CX
AS,CC
SA,CO
AF,KM
AF,YT
AF,CG
AF,CD
OC,CK
NA,CR
EU,HR
NA,CU
AS,CY
EU,CY
EU,CZ
AF,BJ
EU,DK
NA,DM
NA,DO
SA,EC
NA,SV
AF,GQ
AF,ET
AF,ER
EU,EE
EU,FO
SA,FK
AN,GS
OC,FJ
EU,FI
EU,AX
EU,FR
SA,GF
OC,PF
AF,TF
AF,DJ
AF,GA
AS,GE
EU,GE
AF,GM
EU,DE
AF,GH
EU,GI
OC,KI
EU,GR
NA,GL
NA,GD
NA,GP
OC,GU
NA,GT
AF,GN
SA,GY
NA,HT
AN,HM
EU,VA
NA,HN
AS,HK
EU,HU
EU,IS
AS,IN
AS,ID
AS,IR
AS,IQ
EU,IE
AS,IL
EU,IT
AF,CI
NA,JM
AS,JP
AS,KZ
EU,KZ
AS,JO
AF,KE
AS,KP
AS,KR
EU,XK
AS,KW
AS,KG
AS,LA
AS,LB
AF,LS
EU,LV
AF,LR
AF,LY
EU,LI
EU,LT
EU,LU
AS,MO
AF,MG
AF,MW
AS,MY
AS,MV
AF,ML
EU,MT
NA,MQ
AF,MR
AF,MU
NA,MX
EU,MC
AS,MN
EU,MD
EU,ME
NA,MS
AF,MA
AF,MZ
AS,OM
AF,NA
OC,NR
AS,NP
EU,NL
NA,CW
NA,AW
NA,SX
NA,BQ
OC,NC
OC,VU
OC,NZ
NA,NI
AF,NE
AF,NG
OC,NU
OC,NF
EU,NO
OC,MP
NA,UM
OC,UM
OC,FM
OC,MH
OC,PW
AS,PK
AS,PS
NA,PA
OC,PG
SA,PY
SA,PE
AS,PH
OC,PN
EU,PL
EU,PT
AF,GW
AS,TL
NA,PR
AS,QA
AF,RE
EU,RO
AS,RU
EU,RU
AF,RW
NA,BL
AF,SH
NA,KN
NA,AI
NA,LC
NA,MF
NA,PM
NA,VC
EU,SM
AF,ST
AS,SA
AF,SN
EU,RS
AF,SC
AF,SL
AS,SG
EU,SK
AS,VN
EU,SI
AF,SO
AF,ZA
AF,ZW
EU,ES
AF,SS
AF,SD
AF,EH
SA,SR
EU,SJ
AF,SZ
EU,SE
EU,CH
AS,SY
AS,TJ
AS,TH
AF,TG
OC,TK
OC,TO
NA,TT
AS,AE
AF,TN
AS,TR
EU,TR
AS,TM
NA,TC
OC,TV
AF,UG
EU,UA
EU,MK
AF,EG
AS,EG
EU,GB
EU,GG
EU,JE
EU,IM
AF,TZ
NA,US
NA,VI
AF,BF
SA,UY
AS,UZ
SA,VE
OC,WF
OC,WS
AS,YE
AF,ZM
AS,XD
AS,XS
OC,XX
