"model","region","code","family","genus","species","parameter","estimate"
"DBH","CA-AB","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bwood1",0.0528
"DBH","CA-AB","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bwood2",2.4309
"DBH","CA-AB","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bbark1",0.0108
"DBH","CA-AB","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bbark2",2.3876
"DBH","CA-AB","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bbranches1",0.0121
"DBH","CA-AB","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bbranches2",2.3519
"DBH","CA-AB","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bfoliage1",0.0251
"DBH","CA-AB","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bfoliage2",2.0389
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","ABIE.BAL","Pinaceae","Abies","balsamea","bwood1",0.0534
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","ABIE.BAL","Pinaceae","Abies","balsamea","bwood2",2.403
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","ABIE.BAL","Pinaceae","Abies","balsamea","bbark1",0.0115
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","ABIE.BAL","Pinaceae","Abies","balsamea","bbark2",2.3484
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","ABIE.BAL","Pinaceae","Abies","balsamea","bbranches1",0.007
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","ABIE.BAL","Pinaceae","Abies","balsamea","bbranches2",2.5406
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","ABIE.BAL","Pinaceae","Abies","balsamea","bfoliage1",0.084
"DBH","CA-AB, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","ABIE.BAL","Pinaceae","Abies","balsamea","bfoliage2",1.6695
"DBH","CA-AB, CA-MB, CA-NT, CA-ON, CA-SK","POPU.BAL","Salicaceae","Populus","balsamifera","bwood1",0.051
"DBH","CA-AB, CA-MB, CA-NT, CA-ON, CA-SK","POPU.BAL","Salicaceae","Populus","balsamifera","bwood2",2.4529
"DBH","CA-AB, CA-MB, CA-NT, CA-ON, CA-SK","POPU.BAL","Salicaceae","Populus","balsamifera","bbark1",0.0297
"DBH","CA-AB, CA-MB, CA-NT, CA-ON, CA-SK","POPU.BAL","Salicaceae","Populus","balsamifera","bbark2",2.1131
"DBH","CA-AB, CA-MB, CA-NT, CA-ON, CA-SK","POPU.BAL","Salicaceae","Populus","balsamifera","bbranches1",0.012
"DBH","CA-AB, CA-MB, CA-NT, CA-ON, CA-SK","POPU.BAL","Salicaceae","Populus","balsamifera","bbranches2",2.4165
"DBH","CA-AB, CA-MB, CA-NT, CA-ON, CA-SK","POPU.BAL","Salicaceae","Populus","balsamifera","bfoliage1",0.0276
"DBH","CA-AB, CA-MB, CA-NT, CA-ON, CA-SK","POPU.BAL","Salicaceae","Populus","balsamifera","bfoliage2",1.6215
"DBH","CA-ON","TILI.AME","Malvaceae","Tilia","americana","bwood1",0.0562
"DBH","CA-ON","TILI.AME","Malvaceae","Tilia","americana","bwood2",2.4102
"DBH","CA-ON","TILI.AME","Malvaceae","Tilia","americana","bbark1",0.0302
"DBH","CA-ON","TILI.AME","Malvaceae","Tilia","americana","bbark2",2.0976
"DBH","CA-ON","TILI.AME","Malvaceae","Tilia","americana","bbranches1",0.023
"DBH","CA-ON","TILI.AME","Malvaceae","Tilia","americana","bbranches2",2.2382
"DBH","CA-ON","TILI.AME","Malvaceae","Tilia","americana","bfoliage1",0.0288
"DBH","CA-ON","TILI.AME","Malvaceae","Tilia","americana","bfoliage2",1.6378
"DBH","CA-ON, CA-QC","FAGU.GRA","Fagaceae","Fagus","grandifolia","bwood1",0.1478
"DBH","CA-ON, CA-QC","FAGU.GRA","Fagaceae","Fagus","grandifolia","bwood2",2.2986
"DBH","CA-ON, CA-QC","FAGU.GRA","Fagaceae","Fagus","grandifolia","bbark1",0.012
"DBH","CA-ON, CA-QC","FAGU.GRA","Fagaceae","Fagus","grandifolia","bbark2",2.2388
"DBH","CA-ON, CA-QC","FAGU.GRA","Fagaceae","Fagus","grandifolia","bbranches1",0.037
"DBH","CA-ON, CA-QC","FAGU.GRA","Fagaceae","Fagus","grandifolia","bbranches2",2.368
"DBH","CA-ON, CA-QC","FAGU.GRA","Fagaceae","Fagus","grandifolia","bfoliage1",0.0376
"DBH","CA-ON, CA-QC","FAGU.GRA","Fagaceae","Fagus","grandifolia","bfoliage2",1.6164
"DBH","CA-ON, CA-QC","FRAX.NIG","Oleaceae","Fraxinus","nigra","bwood1",0.0941
"DBH","CA-ON, CA-QC","FRAX.NIG","Oleaceae","Fraxinus","nigra","bwood2",2.3491
"DBH","CA-ON, CA-QC","FRAX.NIG","Oleaceae","Fraxinus","nigra","bbark1",0.0323
"DBH","CA-ON, CA-QC","FRAX.NIG","Oleaceae","Fraxinus","nigra","bbark2",2.0761
"DBH","CA-ON, CA-QC","FRAX.NIG","Oleaceae","Fraxinus","nigra","bbranches1",0.0448
"DBH","CA-ON, CA-QC","FRAX.NIG","Oleaceae","Fraxinus","nigra","bbranches2",1.9771
"DBH","CA-ON, CA-QC","FRAX.NIG","Oleaceae","Fraxinus","nigra","bfoliage1",0.0538
"DBH","CA-ON, CA-QC","FRAX.NIG","Oleaceae","Fraxinus","nigra","bfoliage2",1.3584
"DBH","CA-ON","PRUN.SER","Rosaceae","Prunus","serotina","bwood1",0.3743
"DBH","CA-ON","PRUN.SER","Rosaceae","Prunus","serotina","bwood2",1.9406
"DBH","CA-ON","PRUN.SER","Rosaceae","Prunus","serotina","bbark1",0.0679
"DBH","CA-ON","PRUN.SER","Rosaceae","Prunus","serotina","bbark2",1.8377
"DBH","CA-ON","PRUN.SER","Rosaceae","Prunus","serotina","bbranches1",0.0796
"DBH","CA-ON","PRUN.SER","Rosaceae","Prunus","serotina","bbranches2",2.0103
"DBH","CA-ON","PRUN.SER","Rosaceae","Prunus","serotina","bfoliage1",0.084
"DBH","CA-ON","PRUN.SER","Rosaceae","Prunus","serotina","bfoliage2",1.2319
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bwood1",0.0477
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bwood2",2.5147
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bbark1",0.0153
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bbark2",2.2429
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bbranches1",0.0278
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bbranches2",2.0839
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bfoliage1",0.1648
"DBH","CA-AB, CA-MB, CA-NL, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bfoliage2",1.4143
"DBH","CA-ON, CA-QC","TSUG.CAN","Pinaceae","Tsuga","canadensis","bwood1",0.0619
"DBH","CA-ON, CA-QC","TSUG.CAN","Pinaceae","Tsuga","canadensis","bwood2",2.3821
"DBH","CA-ON, CA-QC","TSUG.CAN","Pinaceae","Tsuga","canadensis","bbark1",0.0139
"DBH","CA-ON, CA-QC","TSUG.CAN","Pinaceae","Tsuga","canadensis","bbark2",2.3282
"DBH","CA-ON, CA-QC","TSUG.CAN","Pinaceae","Tsuga","canadensis","bbranches1",0.0217
