"genus","species","allo_var","family","a","b","cf","name","region"
"Abies","pinsapo","bblt2","Pinaceae",-0.860115,2.36973,1.17001526400712,"Málaga","ES-MA"
"Abies","pinsapo","bt","Pinaceae",-2.52726,2.31499,1.02303077192533,"Málaga","ES-MA"
"Abies","pinsapo","bbgt2lt7","Pinaceae",-5.80425,2.78393,1.14865434411574,"Málaga","ES-MA"
"Abies","pinsapo","bs","Pinaceae",-3.77566,2.46487,1.03453280211969,"Málaga","ES-MA"
"Abies","pinsapo","bbgt7","Pinaceae",-16.252,2.39755,1.11411299342841,"Málaga","ES-MA"
"Alnus","glutinosa","bt","Betulaceae",-0.824827,2.9009,1.04510180481211,"Girona","ES-GI"
"Alnus","glutinosa","bs","Betulaceae",-1.37963,2.98387,1.0864586157969,"Girona","ES-GI"
"Alnus","glutinosa","bbgt2lt7","Betulaceae",-2.72625,2.85179,1.11887242032873,"Girona","ES-GI"
"Alnus","glutinosa","bbgt7","Betulaceae",-7.21999,2.74362,1.24260546865803,"Girona","ES-GI"
"Alnus","glutinosa","bblt2","Betulaceae",-2.40443,2.44591,1.14388036340978,"Girona","ES-GI"
"Alnus","glutinosa","bf","Betulaceae",-3.00803,2.44689,1.14450393295456,"Girona","ES-GI"
"Alnus","glutinosa","br","Betulaceae",-2.09999,2.16573,1.01792507324638,"Girona","ES-GI"
"Betula",NA,"br","Betulaceae",-2.41805,2.01124,1.08457956093289,"Lugo","ES-GA"
"Betula",NA,"bf","Betulaceae",-3.28444,2.59452,1.07744843963558,"Lugo","ES-GA"
"Betula",NA,"bbgt2lt7","Betulaceae",-2.70462,2.97187,1.04529137857674,"Lugo","ES-GA"
"Betula",NA,"bbgt7","Betulaceae",-7.84245,2.25429,1.26290151717637,"Lugo","ES-GA"
"Betula",NA,"bs","Betulaceae",-2.09231,2.3256,1.01306279861009,"Lugo","ES-GA"
"Betula",NA,"bblt2","Betulaceae",-2.65716,2.64983,1.07214921541903,"Lugo","ES-GA"
"Betula",NA,"bt","Betulaceae",-1.60855,2.26855,1.00783667353787,"Lugo","ES-GA"
"Castanea","sativa","bs","Fagaceae",-2.43261,2.14736,1.03325842845332,"Málaga","ES-MA"
"Castanea","sativa","bs","Fagaceae",-2.43261,2.14736,1.03325842845332,"Cáceres","ES-CC"
"Castanea","sativa","bbgt7","Fagaceae",-7.80901,2.49096,1.10912779271276,"Málaga","ES-MA"
"Castanea","sativa","bbgt7","Fagaceae",-7.80901,2.49096,1.10912779271276,"Cáceres","ES-CC"
"Castanea","sativa","bbgt2lt7","Fagaceae",-2.29444,2.90889,1.08546102565317,"Málaga","ES-MA"
"Castanea","sativa","bbgt2lt7","Fagaceae",-2.29444,2.90889,1.08546102565317,"Cáceres","ES-CC"
"Castanea","sativa","bt","Fagaceae",-1.70831,2.21544,1.02521485092176,"Málaga","ES-MA"
"Castanea","sativa","bt","Fagaceae",-1.70831,2.21544,1.02521485092176,"Cáceres","ES-CC"
"Castanea","sativa","br","Fagaceae",-3.97491,2.83892,1.01021420205783,"Málaga","ES-MA"
"Castanea","sativa","br","Fagaceae",-3.97491,2.83892,1.01021420205783,"Cáceres","ES-CC"
"Castanea","sativa","bblt2","Fagaceae",-1.55218,2.69381,1.05369138260126,"Málaga","ES-MA"
"Castanea","sativa","bblt2","Fagaceae",-1.55218,2.69381,1.05369138260126,"Cáceres","ES-CC"
"Ceratonia","siliqua","br","Fabaceae",-1.03055,2.99274,1.03641338913773,"Málaga","ES-MA"
"Ceratonia","siliqua","bblt2","Fabaceae",-1.81674,2.6254,1.06505867996319,"Málaga","ES-MA"
"Ceratonia","siliqua","bbgt2lt7","Fabaceae",-2.67667,2.87513,1.18031920194655,"Málaga","ES-MA"
"Ceratonia","siliqua","bbgt7","Fabaceae",-4.98516,2.82065,1.21904424359465,"Málaga","ES-MA"
"Ceratonia","siliqua","bt","Fabaceae",-1.51118,2.16178,1.05214412983953,"Málaga","ES-MA"
"Ceratonia","siliqua","bf","Fabaceae",-2.19442,2.62588,1.06476635254682,"Málaga","ES-MA"
"Ceratonia","siliqua","bs","Fabaceae",-2.01208,2.99344,1.02287234045337,"Málaga","ES-MA"
"Erica","arborea","bt","Ericaceae",-0.949661,2.00644,1.05129744063939,"Santa Cruz de Tenerife","ES-TF"
"Erica","arborea","bbgt2lt7","Ericaceae",-3.51439,2.13533,1.12066734443956,"Santa Cruz de Tenerife","ES-TF"
"Erica","arborea","bblt2","Ericaceae",-1.21581,2.61609,1.08029179061943,"Santa Cruz de Tenerife","ES-TF"
"Erica","arborea","bs","Ericaceae",-1.8135,2.05303,1.05569726599865,"Santa Cruz de Tenerife","ES-TF"
"Erica","arborea","bbgt7","Ericaceae",-6.92178,2.38826,1.36344466685267,"Santa Cruz de Tenerife","ES-TF"
"Eucalyptus",NA,"bf","Myrtaceae",-2.05864,2.61762,1.05712269415944,"Huelva","ES-H"
"Eucalyptus",NA,"bf","Myrtaceae",-2.05864,2.61762,1.05712269415944,"Huelva","ES-HU"
