"model","region","code","family","genus","species","parameter","estimate"
"DBH","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bwood1",0.025036
"DBH","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bwood2",2.637781
"DBH","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bbark1",0.006119
"DBH","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bbark2",2.537534
"DBH","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bbranches1",0.017837
"DBH","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bbranches2",2.425492
"DBH","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bfoliage1",0.041575
"DBH","CA-AB, CA-BC","ABIE.LAS","Pinaceae","Abies","lasiocarpa","bfoliage2",2.013012
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bwood1",0.0494
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bwood2",2.5025
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bbark1",0.0148
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bbark2",2.2494
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bbranches1",0.0291
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bbranches2",2.0751
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bfoliage1",0.1631
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.MAR","Pinaceae","Picea","mariana","bfoliage2",1.4222
"DBH","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bwood1",0.0323
"DBH","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bwood2",2.6825
"DBH","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bbark1",0.0144
"DBH","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bbark2",2.1768
"DBH","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bbranches1",0.0209
"DBH","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bbranches2",2.1772
"DBH","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bfoliage1",0.0584
"DBH","CA-AB, CA-BC","PINU.CON","Pinaceae","Pinus","contorta","bfoliage2",1.6432
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bwood1",0.0608
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bwood2",2.4735
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bbark1",0.0159
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bbark2",2.4123
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bbranches1",0.0082
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bbranches2",2.5139
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bfoliage1",0.0235
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","POPU.TRE","Salicaceae","Populus","tremuloides","bfoliage2",1.6656
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bwood1",0.0604
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bwood2",2.4959
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bbark1",0.014
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bbark2",2.3923
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bbranches1",0.0147
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bbranches2",2.5227
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bfoliage1",0.0591
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-ON, CA-QC, CA-SK","BETU.PAP","Betulaceae","Betula","papyrifera","bfoliage2",1.6036
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.GLA","Pinaceae","Picea","glauca","bwood1",0.0334
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.GLA","Pinaceae","Picea","glauca","bwood2",2.598
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.GLA","Pinaceae","Picea","glauca","bbark1",0.0114
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.GLA","Pinaceae","Picea","glauca","bbark2",2.3057
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.GLA","Pinaceae","Picea","glauca","bbranches1",0.0302
"DBH","CA-AB, CA-BC, CA-MB, CA-NL, CA-NS, CA-NT, CA-ON, CA-QC, CA-SK, CA-YT","PICE.GLA","Pinaceae","Picea","glauca","bbranches2",2.0927
