"genus","species","family","a","b","cf","name","region","branch_size"
"Castanea","sativa","Fagaceae",-7.80901,2.49096,1.10912779271276,"Málaga","ES-MA","> 7 cm"
"Pinus","pinaster","Pinaceae",-23.0418,2.52359,1.05398659523454,"Guadalajara","ES-GU","> 7 cm"
"Fraxinus",NA,"Oleaceae",-5.4098,2.84214,1.25617378579627,"Cádiz","ES-CA","> 7 cm"
"Populus","euramericana","Salicaceae",-12.0573,2.34719,1.17930758567849,"Segovia","ES-SG","> 7 cm"
"Olea","europaea","Oleaceae",-4.65302,2.68734,1.19981681911963,"Cádiz","ES-CA","> 7 cm"
"Pinus","pinaster","Pinaceae",-23.0418,2.52359,1.05398659523454,"Ciudad Real","ES-CR","> 7 cm"
"Pinus","nigra","Pinaceae",-13.8099,2.63179,1.58260721003665,"Guadalajara","ES-GU","> 7 cm"
"Juniperus","thurifera","Cupressaceae",-13.4535,2.6002,1.11372078909856,"Guadalajara","ES-GU","> 7 cm"
"Fagus","sylvatica","Fagaceae",-10.811,2.08961,1.21898900552394,"Navarra","ES-NC","> 7 cm"
"Castanea","sativa","Fagaceae",-7.80901,2.49096,1.10912779271276,"Cáceres","ES-CC","> 7 cm"
"Pinus","canariensis","Pinaceae",-11.6241,2.28166,1.37834321242743,"Santa Cruz de Tenerife","ES-TF","> 7 cm"
"Laurus","azorica","Lauraceae",-3.98432,2.54256,1.33306477087776,"Santa Cruz de Tenerife","ES-TF","> 7 cm"
"Populus","euramericana","Salicaceae",-12.0573,2.34719,1.17930758567849,"Soria","ES-SO","> 7 cm"
"Alnus","glutinosa","Betulaceae",-7.21999,2.74362,1.24260546865803,"Girona","ES-GI","> 7 cm"
"Abies","pinsapo","Pinaceae",-16.252,2.39755,1.11411299342841,"Málaga","ES-MA","> 7 cm"
"Betula",NA,"Betulaceae",-7.84245,2.25429,1.26290151717637,"Lugo","ES-GA","> 7 cm"
"Erica","arborea","Ericaceae",-6.92178,2.38826,1.36344466685267,"Santa Cruz de Tenerife","ES-TF","> 7 cm"
"Quercus","ilex","Fagaceae",-5.347,2.04363,1.15807858833291,"Cáceres","ES-CC","> 7 cm"
