"family","genus","species","a","b","c","cf"
"Pinaceae","Abies","amabilis",-2.7231,1.8546,0.7567,1
"Pinaceae","Picea","engelmannii",-2.6483,1.4762,1.1357,1
"Pinaceae","Picea","glauca",-1.9682,1.9401,0.421,1
"Pinaceae","Picea","mariana",-2.6988,1.9463,0.6183,1
"Pinaceae","Picea","sitchensis",-2.5826,1.8196,0.7108,1.0091
"Pinaceae","Pinus","contorta",-1.8641,1.801,0.5617,1
"Pinaceae","Pinus","monophylla",-0.5048,1.4016,0.8522,1
"Pinaceae","Pseudotsuga","menziesii",-2.8246,1.6385,1.0474,1
"Cupressaceae","Sequoia","sempervirens",-3.0491,1.9407,0.6876,1.0205
"Cupressaceae","Sequoiadendron","giganteum",-3.8735,2.1251,0.601,1.0356
"Cupressaceae","Thuja","plicata",-2.5443,1.5701,0.9162,1.0151
"Pinaceae","Tsuga","heterophylla",-2.7552,1.8521,0.7642,1.0209
"Betulaceae","Alnus","rubra",-3.8516,2.3174,0.6283,1.0281
"Salicaceae","Populus","tremuloides",-3.0439,2.0345,0.642,1
"Salicaceae","Populus","balsamifera",-3.8009,1.63,1.3354,1
