"family","genus","species","a","b","cf"
"Pinaceae","Abies","amabilis",6.3389,0.869,1.0333
"Pinaceae","Abies","concolor",6.4429,0.8396,1.0165
"Pinaceae","Abies","grandis",6.317,1.015,1.0271
"Pinaceae","Abies","lasiocarpa",6.2418,0.8175,1.0382
"Pinaceae","Picea","engelmannii",6.1041,0.7423,1.0469
"Pinaceae","Picea","glauca",6.3052,0.789,1.0265
"Pinaceae","Picea","mariana",6.1913,0.7655,1.0373
"Pinaceae","Picea","sitchensis",6.1467,0.8489,1.0101
"Pinaceae","Pinus","contorta",6.2043,0.8057,1.0531
"Pinaceae","Pinus","jeffreyi",6.66,0.95,1.0071
"Pinaceae","Pinus","ponderosa",6.4661,0.7567,1.0482
"Pinaceae","Pinus","monophylla",6.3278,0.7959,1.0706
"Pinaceae","Pseudotsuga","menziesii",6.4313,0.9589,1.0242
"Cupressaceae","Sequoia","sempervirens",6.4452,0.9011,1.0209
"Cupressaceae","Sequoiadendron","giganteum",6.2848,0.9323,1.0247
"Cupressaceae","Thuja","plicata",6.1092,0.9114,1.0167
"Pinaceae","Tsuga","heterophylla",6.3161,0.9079,1.0209
"Pinaceae","Tsuga","mertensiana",6.5393,0.8812,1.0136
"Betulaceae","Alnus","rubra",6.3749,1.0025,1.0288
"Betulaceae","Betula","papyrifera",6.3147,0.9525,1.0209
"Salicaceae","Populus","tremuloides",6.2622,0.9157,1.0106
"Salicaceae","Populus","balsamifera",6.3147,0.9525,1.0209
