family,genus,species,common_name,a0,a1,a2
Fagaceae,Quercus,kelloggii,California black oak,3.3625,2.0303,-0.0073307
Fagaceae,Chrysolepis,chrysophylla,Chinkapin,2.9794,1.5512,-0.014161
Pinaceae,Pseudotsuga,menziesii,Douglas-fir,4.6366,1.6078,-0.009625
Cupressaceae,Calocedrus,decurrens,Incense-cedar,3.2837,1.2031,-0.0071858
Pinaceae,Pinus,jeffreyi,Jeffrey pine,5.303,0.9293,0
Ericaceae,Arbutus,menziesii,Madrone,3.4299,1.3532,0
Pinaceae,Abies,procera,Noble fir,3.6883,0.8627,0
Fagaceae,Quercus,garryana,Oregon white oak,3.0786,1.9242,0
Pinaceae,Pinus,ponderosa,Ponderosa pine,3.4835,1.343,-0.0082544
Pinaceae,Abies,magnifica,Red fir,3.0884,0.7871,0
Pinaceae,Pinus,lambertiana,Sugar pine,4.6601,1.0702,0
Fagaceae,Notholithocarpus,densiflorus,Tanoak,4.4443,1.704,0
Pinaceae,Tsuga,heterophylla,Western hemlock,4.5652,1.4147,0
Pinaceae,Pinus,monticola,Western white pine,3.2095,1.2633,-0.0082873
Pinaceae,Abies,concolor,White and grand fir,6.188,1.0069,0
Pinaceae,Abies,grandis,White and grand fir,6.188,1.0069,0
