"family","genus","species","b_1","b_2","b_3","b_4"
"Pinaceae","Pinus","resinosa",925.5,0.264,-1.818e-05,2.926
"Pinaceae","Pinus","strobus",925.5,0.264,-1.818e-05,2.926
"Pinaceae","Pinus","banksiana",925.5,0.264,-1.818e-05,2.926
"Pinaceae","Pinus","sylvestris",925.5,0.264,-1.818e-05,2.926
"Pinaceae","Pinus","echinata",815.5,0.1327,-4.169e-05,2.931
"Pinaceae","Pinus","virginiana",815.5,0.1327,-4.169e-05,2.931
"Pinaceae","Pinus","taeda",815.5,0.1327,-4.169e-05,2.931
"Cupressaceae","Thuja","occidentalis",915.5,0.2719,-3.436e-05,2.644
"Pinaceae","Larix","laricina",915.5,0.2719,-3.436e-05,2.644
"Pinaceae","Tsuga","canadensis",915.5,0.2719,-3.436e-05,2.644
"Pinaceae","Abies","balsamea",915.5,0.2719,-3.436e-05,2.644
"Pinaceae","Picea","glauca",915.5,0.2719,-3.436e-05,2.644
"Pinaceae","Picea","mariana",915.5,0.2719,-3.436e-05,2.644
"Cupressaceae","Taxodium","distichum",859.7,0.0028,-3.44e-06,3.496
"Cupressaceae","Juniperus","virginiana",629.3,0.1133,-0.0002294,2.31
"Fagaceae","Quercus","alba",749.1,0.2214,-4.853e-05,2.729
"Fagaceae","Quercus","macrocarpa",749.1,0.2214,-4.853e-05,2.729
"Fagaceae","Quercus","muehlenbergii",749.1,0.2214,-4.853e-05,2.729
"Fagaceae","Quercus","bicolor",749.1,0.2214,-4.853e-05,2.729
"Fagaceae","Quercus","michauxii",749.1,0.2214,-4.853e-05,2.729
"Fagaceae","Quercus","stellata",416.1,0.4001,-3.862e-05,2.75
"Fagaceae","Quercus","prinus",416.1,0.4001,-3.862e-05,2.75
"Fagaceae","Quercus","lyrata",416.1,0.4001,-3.862e-05,2.75
"Fagaceae","Quercus","rubra",744.2,0.2627,-3.487e-05,2.804
"Fagaceae","Quercus","pagoda",744.2,0.2627,-3.487e-05,2.804
"Fagaceae","Quercus","shumardii",744.2,0.2627,-3.487e-05,2.804
"Fagaceae","Quercus","velutina",904.2,0.2229,-2.808e-05,2.861
"Fagaceae","Quercus","coccinea",904.2,0.2229,-2.808e-05,2.861
"Fagaceae","Quercus","palustris",904.2,0.2229,-2.808e-05,2.861
"Fagaceae","Quercus","marilandica",904.2,0.2229,-2.808e-05,2.861
"Fagaceae","Quercus","imbricaria",904.2,0.2229,-2.808e-05,2.861
"Fagaceae","Quercus","falcata",904.2,0.2229,-2.808e-05,2.861
"Fagaceae","Quercus","ellipsoidalis",904.2,0.2229,-2.808e-05,2.861
"Fagaceae","Quercus","phellos",904.2,0.2229,-2.808e-05,2.861
"Juglandaceae","Carya","ovata",731.9,0.2265,-3.128e-05,2.926
"Juglandaceae","Carya","alba",731.9,0.2265,-3.128e-05,2.926
"Juglandaceae","Carya","laciniosa",731.9,0.2265,-3.128e-05,2.926
"Juglandaceae","Carya","illinoinensis",731.9,0.2265,-3.128e-05,2.926
"Juglandaceae","Carya","glabra",394.5,0.3271,-3.303e-05,2.999
"Juglandaceae","Carya","cordiformis",394.5,0.3271,-3.303e-05,2.999
"Juglandaceae","Carya","texana",394.5,0.3271,-3.303e-05,2.999
"Malvaceae","Tilia","americana",1325.2,0.1748,-2.803e-05,2.827
"Fagaceae","Fagus","grandifolia",1325.2,0.1748,-2.803e-05,2.827
"Betulaceae","Betula","alleghaniensis",1325.2,0.1748,-2.803e-05,2.827
"Sapindaceae","Acer","saccharum",585,0.259,-3.684e-05,2.925
"Sapindaceae","Acer","nigrum",585,0.259,-3.684e-05,2.925
"Sapindaceae","Acer","saccharinum",2373.9,0.0291,-2.323e-05,2.88
"Sapindaceae","Acer","rubrum",2373.9,0.0291,-2.323e-05,2.88
"Ulmaceae","Ulmus","americana",751.4,0.2845,-2.692e-05,2.819
"Ulmaceae","Ulmus","rubra",751.4,0.2845,-2.692e-05,2.819
"Cannabaceae","Celtis","occidentalis",751.4,0.2845,-2.692e-05,2.819
"Ulmaceae","Ulmus","alata",751.4,0.2845,-2.692e-05,2.819
"Ulmaceae","Ulmus","thomasii",751.4,0.2845,-2.692e-05,2.819
"Oleaceae","Fraxinus","americana",418.9,0.23,-3.323e-05,3.09
"Oleaceae","Fraxinus","pennsylvanica",418.9,0.23,-3.323e-05,3.09
