country,family,genus,species,sample_size,a0,a1,r2
EU-ES,Pinaceae,Pinus,Pinus pinaster,4382,0.589,0.051,0.377
EU-ES,Pinaceae,Pinus,Pinus pinea,1273,0.626,0.024,0.416
EU-ES,Pinaceae,Pinus,Pinus halepensis,5662,0.455,0.059,0.588
EU-ES,Pinaceae,Pinus,Pinus sylvestris,4657,0.451,0.09,0.489
EU-ES,,,Otherconifers,4956,0.369,0.061,0.556
EU-ES,Mirtaceae,Eucalyptus,Eucalyptus,1263,0.662,0.039,0.258
EU-ES,Fagaceae,Quercus,Quercus suber,46,0.49,0.014,0.874
EU-ES,Fagaceae,Quercus,Quercus ilex sp ilex,621,0.478,0.064,0.724
EU-ES,Fagaceae,Quercus,Quercus pyrenaica,1204,0.379,0.034,0.691
EU-ES,Fagaceae,Quercus,Other oaks,1431,0.384,0.026,0.724
EU-ES,Fagaceae,Castanea,Castanea sativa,122,0.357,0.027,0.798
EU-ES,,,Otherbroadleaves,302,0.267,0.026,0.742
