family,genus,species,eq_no,a,b,c,a_0,a_1,a_2
Cupressaceae,Sequoia,sempervirens,1,5.6911,-7.3644,-0.6294,,,
Pinaceae,Pseudotsuga,meniziesii,1,5.9429,-6.2041,-0.5531,,,
Pinaceae,Abies,grandis,1,5.8095,-6.3265,-0.6015,,,
Pinaceae,Tsuga,heterophylla,2,162.7225,-0.05723,0.9763,,,
Fagaceae,Notholithocarpus,densiflorus,1,4.5343,-6.4926,-1.0345,,,
Ericaceae,Arbutus,meniziesii,2,68.9322,-0.1767,0.8723,,,
Cupressaceae,Sequoia,sempervirens,3,,-7.7612,-0.6782,5.5535,0.0775,
Pinaceae,Pseudotsuga,meniziesii,3,,-6.6508,-0.6601,5.6268,0.1138,
Pinaceae,Abies,grandis,3,,-6.1524,-0.5855,5.7813,0.0686,
Fagaceae,Notholithocarpus,densiflorus,3,,-5.3565,-0.8725,4.597,0.1162,
Cupressaceae,Sequoia,sempervirens,4,,-6.812,-0.5656,5.9093,0.0753,-0.0036
Pinaceae,Pseudotsuga,meniziesii,4,,-6.2817,-0.6101,5.8146,0.111,-0.0027
Fagaceae,Notholithocarpus,densiflorus,4,,-5.0244,-0.7834,4.756,0.0996,-0.0019
