"species_code","family","genus","species","geographic_region","p2","p3","p4"
"AF","Pinaceae","Abies","lasiocarpa","609 - Olympic, 800 - Quinalt",89.0298,6.9507,-0.9871
"AF","Pinaceae","Abies","lasiocarpa","612 - Siuslaw, 712 - BLM Coos",133.8689,6.7798,-0.7375
"AF","Pinaceae","Abies","lasiocarpa","708 - BLM Salem",290.5142,6.4143,-0.4724
"AF","Pinaceae","Abies","lasiocarpa","709 - BLM Eugene",133.8689,6.7798,-0.7375
"AS","Salicaceae","Populus","tremuloides","609 - Olympic, 800 - Quinalt",1709.723,5.8887,-0.2286
"AS","Salicaceae","Populus","tremuloides","612 - Siuslaw, 712 - BLM Coos",1709.723,5.8887,-0.2286
"AS","Salicaceae","Populus","tremuloides","708 - BLM Salem",1709.723,5.8887,-0.2286
"AS","Salicaceae","Populus","tremuloides","709 - BLM Eugene",1709.723,5.8887,-0.2286
"BM","Aceraceae","Acer","macrophyllum","609 - Olympic, 800 - Quinalt",600.0957,3.8297,-0.238
"BM","Aceraceae","Acer","macrophyllum","612 - Siuslaw, 712 - BLM Coos",92.2964,4.189,-0.983
"BM","Aceraceae","Acer","macrophyllum","708 - BLM Salem",76.517,2.2107,-0.6365
"BM","Aceraceae","Acer","macrophyllum","709 - BLM Eugene",160.2171,3.3044,-0.5299
"CH","Pinaceae","Prunus","emarginata","609 - Olympic, 800 - Quinalt",73.3348,2.6548,-1.246
"CH","Pinaceae","Prunus","emarginata","612 - Siuslaw, 712 - BLM Coos",73.3348,2.6548,-1.246
"CH","Pinaceae","Prunus","emarginata","708 - BLM Salem",73.3348,2.6548,-1.246
"CH","Pinaceae","Prunus","emarginata","709 - BLM Eugene",73.3348,2.6548,-1.246
"CW","Salicaceae","Populus","trichocarpa","609 - Olympic, 800 - Quinalt",178.6441,4.5852,-0.6746
"CW","Salicaceae","Populus","trichocarpa","612 - Siuslaw, 712 - BLM Coos",178.6441,4.5852,-0.6746
"CW","Salicaceae","Populus","trichocarpa","708 - BLM Salem",178.6441,4.5852,-0.6746
"CW","Salicaceae","Populus","trichocarpa","709 - BLM Eugene",178.6441,4.5852,-0.6746
"DF","Pinaceae","Pseudotsuga","menziesii","609 - Olympic, 800 - Quinalt",1091.853,5.2936,-0.2648
"DF","Pinaceae","Pseudotsuga","menziesii","612 - Siuslaw, 712 - BLM Coos",407.1595,7.2885,-0.5908
"DF","Pinaceae","Pseudotsuga","menziesii","708 - BLM Salem",949.1046,5.8482,-0.3251
"DF","Pinaceae","Pseudotsuga","menziesii","709 - BLM Eugene",439.1195,5.8176,-0.4854
"DG","Cornaceae","Cornus","nuttallii","609 - Olympic, 800 - Quinalt",403.3221,4.3271,-0.2422
"DG","Cornaceae","Cornus","nuttallii","612 - Siuslaw, 712 - BLM Coos",403.3221,4.3271,-0.2422
"DG","Cornaceae","Cornus","nuttallii","708 - BLM Salem",403.3221,4.3271,-0.2422
"DG","Cornaceae","Cornus","nuttallii","709 - BLM Eugene",444.5618,3.9205,-0.2397
"ES","Pinaceae","Picea","engelmannii","609 - Olympic, 800 - Quinalt",206.3211,9.1227,-0.8281
"ES","Pinaceae","Picea","engelmannii","612 - Siuslaw, 712 - BLM Coos",206.3211,9.1227,-0.8281
"ES","Pinaceae","Picea","engelmannii","708 - BLM Salem",206.3211,9.1227,-0.8281
"ES","Pinaceae","Picea","engelmannii","709 - BLM Eugene",206.3211,9.1277,-0.8281
"GC","Fagaceae","Chrysolepis","chrysophylla","609 - Olympic, 800 - Quinalt",10707.39,8.467,-0.1863
"GC","Fagaceae","Chrysolepis","chrysophylla","612 - Siuslaw, 712 - BLM Coos",10707.39,8.467,-0.1863
"GC","Fagaceae","Chrysolepis","chrysophylla","708 - BLM Salem",10707.39,8.467,-0.1863
"GC","Fagaceae","Chrysolepis","chrysophylla","709 - BLM Eugene",10707.39,8.467,-0.1863
"GF","Pinaceae","Abies","grandis","609 - Olympic, 800 - Quinalt",356.1148,6.41,-0.5572
"GF","Pinaceae","Abies","grandis","612 - Siuslaw, 712 - BLM Coos",432.2186,6.2941,-0.5028
"GF","Pinaceae","Abies","grandis","708 - BLM Salem",432.2186,6.2941,-0.5028
"GF","Pinaceae","Abies","grandis","709 - BLM Eugene",432.2186,6.2941,-0.5028
"HT","Rosaceae","Crataegus","NA","609 - Olympic, 800 - Quinalt",55,5.5,-0.95
"HT","Rosaceae","Crataegus","NA","612 - Siuslaw, 712 - BLM Coos",55,5.5,-0.95
"HT","Rosaceae","Crataegus","NA","708 - BLM Salem",55,5.5,-0.95
"HT","Rosaceae","Crataegus","NA","709 - BLM Eugene",55,5.5,-0.95
"IC","Cupressaceae","Calocedrus","decurrens","609 - Olympic, 800 - Quinalt",4691.634,7.4671,-0.1989
"IC","Cupressaceae","Calocedrus","decurrens","612 - Siuslaw, 712 - BLM Coos",4691.634,7.4671,-0.1989
"IC","Cupressaceae","Calocedrus","decurrens","708 - BLM Salem",4691.634,7.4671,-0.1989
"IC","Cupressaceae","Calocedrus","decurrens","709 - BLM Eugene",4691.634,7.4671,-0.1989
"JP","Pinaceae","Pinus","jeffreyi","609 - Olympic, 800 - Quinalt",1031.52,7.6616,-0.3599
"JP","Pinaceae","Pinus","jeffreyi","612 - Siuslaw, 712 - BLM Coos",1031.52,7.6616,-0.3599
"JP","Pinaceae","Pinus","jeffreyi","708 - BLM Salem",1031.52,7.6616,-0.3599
"JP","Pinaceae","Pinus","jeffreyi","709 - BLM Eugene",1031.52,7.6616,-0.3599
"KP","Pinaceae","Pinus","attenuata","609 - Olympic, 800 - Quinalt",34749.47,9.1287,-0.1417
"KP","Pinaceae","Pinus","attenuata","612 - Siuslaw, 712 - BLM Coos",34749.47,9.1287,-0.1417
"KP","Pinaceae","Pinus","attenuata","708 - BLM Salem",34749.47,9.1287,-0.1417
"KP","Pinaceae","Pinus","attenuata","709 - BLM Eugene",34749.47,9.1287,-0.1417
"LL","Pinaceae","Larix","lyallii","609 - Olympic, 800 - Quinalt",503.6619,4.9544,-0.2085
"LL","Pinaceae","Larix","lyallii","612 - Siuslaw, 712 - BLM Coos",503.6619,4.9544,-0.2085
"LL","Pinaceae","Larix","lyallii","708 - BLM Salem",503.6619,4.9544,-0.2085
"LL","Pinaceae","Larix","lyallii","709 - BLM Eugene",503.6619,4.9544,-0.2085
"LP","Pinaceae","Pinus","contorta","609 - Olympic, 800 - Quinalt",100,6,-0.86
"LP","Pinaceae","Pinus","contorta","612 - Siuslaw, 712 - BLM Coos",100,6,-0.86
"LP","Pinaceae","Pinus","contorta","708 - BLM Salem",139.7159,4.0091,-0.708
"LP","Pinaceae","Pinus","contorta","709 - BLM Eugene",105.4453,7.9694,-1.0916
"MH","Pinaceae","Tsuga","mertensiana","609 - Olympic, 800 - Quinalt",170.2653,10.0684,-0.8791
"MH","Pinaceae","Tsuga","mertensiana","612 - Siuslaw, 712 - BLM Coos",170.2653,10.0684,-0.8791
"MH","Pinaceae","Tsuga","mertensiana","708 - BLM Salem",2478.099,7.0762,-0.2456
"MH","Pinaceae","Tsuga","mertensiana","709 - BLM Eugene",192.9609,7.3876,-0.7231
"NF","Pinaceae","Abies","procera","609 - Olympic, 800 - Quinalt",483.3751,7.2443,-0.5111
"NF","Pinaceae","Abies","procera","612 - Siuslaw, 712 - BLM Coos",483.3751,7.2443,-0.5111
"NF","Pinaceae","Abies","procera","708 - BLM Salem",247.7348,6.183,-0.6335
"NF","Pinaceae","Abies","procera","709 - BLM Eugene",483.3751,7.2443,-0.5111
"OT","NA","NA","NA","609 - Olympic, 800 - Quinalt",1709.723,5.8887,-0.2286
"OT","NA","NA","NA","612 - Siuslaw, 712 - BLM Coos",1709.723,5.8887,-0.2286
"OT","NA","NA","NA","708 - BLM Salem",1709.723,5.8887,-0.2286
"OT","NA","NA","NA","709 - BLM Eugene",1709.723,5.8887,-0.2286
"PB","Betulaceae","Betula","papyrifera","609 - Olympic, 800 - Quinalt",1709.723,5.8887,-0.2286
"PB","Betulaceae","Betula","papyrifera","612 - Siuslaw, 712 - BLM Coos",1709.723,5.8887,-0.2286
"PB","Betulaceae","Betula","papyrifera","708 - BLM Salem",1709.723,5.8887,-0.2286
"PB","Betulaceae","Betula","papyrifera","709 - BLM Eugene",1709.723,5.8887,-0.2286
