species_code,b1,b2,family,genus,species
AF,5.313,-15.321,Pinaceae,Abies,lasiocarpa
AS,5.152,-13.576,Salicaceae,Populus,tremuloides
BM,4.7,-6.326,Aceraceae,Acer,macrophyllum
CH,5.152,-13.576,Pinaceae,Prunus,emarginata
CW,5.152,-13.576,Salicaceae,Populus,trichocarpa
DF,5.563,-16.475,Pinaceae,Pseudotsuga,menziesii
DG,5.152,-13.576,Cornaceae,Cornus,nuttallii
ES,5.188,-13.801,Pinaceae,Picea,engelmannii
GC,5.152,-13.576,Fagaceae,Chrysolepis,chrysophylla
GF,5.308,-13.624,Pinaceae,Abies,grandis
HT,5.152,-13.576,Rosaceae,Crataegus,NA
IC,5.188,-13.801,Cupressaceae,Calocedrus,decurrens
JP,5.333,-17.762,Pinaceae,Pinus,jeffreyi
KP,5.188,-13.801,Pinaceae,Pinus,attenuata
LL,5.188,-13.801,Pinaceae,Larix,lyallii
LP,4.865,-9.305,Pinaceae,Pinus,contorta
MH,5.081,-13.43,Pinaceae,Tsuga,mertensiana
NF,5.327,-15.45,Pinaceae,Abies,procera
OT,5.152,-13.576,NA,NA,NA
PB,5.152,-13.576,Betulaceae,Betula,papyrifera
PP,5.333,-17.762,Pinaceae,Pinus,ponderosa
PY,5.188,-13.801,Taxaceae,Taxus,brevifolia
RA,4.875,-8.639,Betulaceae,Alnus,rubra
RC,5.233,-14.737,Cupressaceae,Thuja,plicata
RF,5.313,-15.321,Pinaceae,Abies,magnifica
RW,5.3401,-15.9354,Cupressaceae,Sequoia,sempervirens
SF,5.487,-16.701,Pinaceae,Abies,amabilis
SP,5.382,-15.866,Pinaceae,Pinus,lambertiana
SS,5.517,-17.944,Pinaceae,Picea,sitchensis
WA,5.152,-13.576,Betulaceae,Alnus,rhombifolia
WB,5.188,-13.801,Pinaceae,Pinus,albicaulis
WF,5.308,-13.624,Pinaceae,Abies,concolor
WH,5.355,-13.878,Pinaceae,Tsuga,heterophylla
WI,5.152,-13.576,Salicaceae,Salix,Salix
WJ,5.152,-13.576,Pinaceae,Juniperus,occidentalis
WO,5.152,-13.576,Fagaceae,Quercus,garryana
WP,5.382,-15.866,Pinaceae,Pinus,monticola
YC,5.143,-13.497,Cupressaceae,Callitropsis,nootkatensis
