species_code,h1,h2,h3,h4,h5,family,genus,species
AF,1.4261,0.3334,0,0,0,Pinaceae,Abies,lasiocarpa
GF,1.4769,0.3579,0,0,0,Pinaceae,Abies,grandis
NF,1.71,0.2943,0,0,0.1054,Pinaceae,Abies,procera
RF,1.3526,0.3335,0.0367,0,0,Pinaceae,Abies,magnifica
SF,1.3134,0.3432,0.0366,0,0,Pinaceae,Abies,amabilis
WF,1.4769,0.3579,0,0,0,Pinaceae,Abies,concolor
YC,1.5907,0.304,0,0,0,Cupressaceae,Callitropsis,nootkatensis
IC,1.5907,0.304,0,0,0,Cupressaceae,Calocedrus,decurrens
LL,1.5907,0.304,0,0,0,Pinaceae,Larix,lyallii
OT,0.0994,4.9767,0,0,0,NA,NA,NA
ES,1.5907,0.304,0,0,0,Pinaceae,Picea,engelmannii
SS,1.3526,0.3335,0.0367,0,0,Pinaceae,Picea,sitchensis
JP,1.0756,0.4369,0,0,0,Pinaceae,Pinus,jeffreyi
LP,0.9717,0.3934,0.0339,0,0.3044,Pinaceae,Pinus,contorta
SP,0.9717,0.3934,0.0339,0,0.3044,Pinaceae,Pinus,lambertiana
WP,0.9717,0.3934,0.0339,0,0.3044,Pinaceae,Pinus,monticola
CW,0.0994,4.9767,0,0,0,Salicaceae,Populus,trichocarpa
CH,0.0994,4.9767,0,0,0,Pinaceae,Prunus,emarginata
WI,0.0994,4.9767,0,0,0,Salicaceae,Salix,Salix
PY,1.5907,0.304,0,0,0,Taxaceae,Taxus,brevifolia
MH,1.2278,0.4,0,0,0,Pinaceae,Tsuga,mertensiana
