"family","genus","species","b_1","b_2","b_3","b_4","b_5","b_6"
"Pinaceae","Pinus","banksiana",16.934,0.12972,1,0.20854,0.77792,0.12902
"Pinaceae","Pinus","resinosa",36.851,0.08298,1,1e-05,0.63884,0.18231
"Pinaceae","Pinus","strobus",16.281,0.08621,1,0.1622,0.86833,0.23316
"Pinaceae","Pinus","ponderosa",36.851,0.08298,1,1e-05,0.63884,0.18231
"Pinaceae","Picea","glauca",31.957,0.18511,1.702,0,0.68967,0.162
"Pinaceae","Picea","mariana",20.038,0.18981,1.2909,0.17836,0.57343,0.10159
"Pinaceae","Abies","balsamea",14.304,0.19894,1.4195,0.23349,0.76878,0.12399
"Pinaceae","Tsuga","canadensis",5.3117,0.10357,1,0.68454,0.7141,0
"Pinaceae","Larix","laricina",13.62,0.24255,1.2885,0.25831,0.68128,0.10771
"Cupressaceae","Juniperus","virginiana",8.2079,0.19672,1.3112,0.33978,0.76173,0.11666
"Cupressaceae","Thuja","occidentalis",8.2079,0.19672,1.3112,0.33978,0.76173,0.11666
"Malvaceae","Tilia","americana",6.3628,0.27859,1.8677,0.49589,0.76169,0.05841
"Fagaceae","Fagus","grandifolia",7.1852,0.28384,1.4417,0.38884,0.82157,0.11411
"Betulaceae","Betula","alleghaniensis",7.1852,0.28384,1.4417,0.38884,0.82157,0.11411
"Oleaceae","Fraxinus","nigra",11.291,0.2525,1.5466,0.35711,0.7506,0.06859
"Oleaceae","Fraxinus","americana",8.1782,0.27316,1.725,0.38694,0.7582,0.10847
"Oleaceae","Fraxinus","pennsylvanica",8.1782,0.27316,1.725,0.38694,0.7582,0.10847
"Platanaceae","Platanus","occidentalis",6.3628,0.27859,1.8677,0.49589,0.76169,0.05841
"Salicaceae","Populus","deltoides",13.625,0.28668,1.6124,0.30651,1.0292,0.0746
"Salicaceae","Salix","nigra",13.625,0.28668,1.6124,0.30651,1.0292,0.0746
"Salicaceae","Populus","balsamifera",6.4301,0.23545,1.338,0.4737,0.73385,0.08228
"Salicaceae","Populus","grandidentata",5.5346,0.22637,1,0.46918,0.72456,0.11782
