family,genus,species,a,b,c
Cupressaceae,Calocedrus,decurrens,14.7373,-15.4469,-0.0728
Pinaceae,Abies,grandis,5.3528,-7.3394,-0.3505
Pinaceae,Abies,concolor,5.3528,-7.3394,-0.3505
Pinaceae,Pinus,lambertiana,4.893,-7.9038,-0.4113
Pinaceae,Pinus,ponderosa,4.5503,-11.4582,-0.5994
Pinaceae,Pseudotsuga,menziesii,5.7567,-6.7792,-0.2795
Ericaceae,Arbutus,menziesii,6.2681,-6.5453,-0.189
Fagaceae,Chrysolepis,chysophylla,11.1522,-11.7201,-0.1003
Fagaceae,Notholithocarpus,densiflorus,10.2252,-10.4533,-0.1018
Fagaceae,Quercus,chrysolepis,8.2443,-8.6686,-0.1248
Fagaceae,Quercus,kelloggii,3.1434,-7.3865,-0.85
