family,genus,species,equation,equation_type,yunits,x1variable,x2variable,x1units,x2units,c1,c2,c3,c4,
Apocynaceae,Nerium,oleander,Height_Age,polynomial,m,Age,,year,,0.0014,0.0826,0.5649,,
Apocynaceae,Nerium,oleander,Diameter_Age,polynomial,mm,Age,,year,,0.232,-4.2743,32.954,,
Rosaceae,Crataegus,monogyna,Diameter_Age,polynomial,mm,Age,,year,,0.0563,-1.6003,22.055,,
Rosaceae,Rosa,canina,Height_Age,polynomial,m,Age,,year,,0.0111,0.3556,-0.3444,,
Rosaceae,Rosa,canina,Diameter_Age,polynomial,m,Age,,year,,-0.0694,18,-0.3444,,
Berberidaceae,Berberis,vulgaris,Height_Age,polynomial,m,Age,,year,,0.0033,0.03,0.5539,,
Berberidaceae,Berberis,vulgaris,Diameter_Age,polynomial,mm,Age,,year,,0.0048,0.0027,10.738,,
Buxaceae,Buxus,sempervirens,Height_Age,polynomial,m,Age,,year,,-0.0005,0.1023,-0.0301,,
Buxaceae,Buxus,sempervirens,Diameter_Age,polynomial,mm,Age,,year,,-0.0006,0.8453,-1.7782,,
Buxaceae,Buxus,sempervirens,Biomass_FCC_H,acos_sqrt,Mgha,FCC,H,percent,dm,4.515059,0.428802,1,,
Buxaceae,Buxus,sempervirens,IncBiomass_FCC_H,acos_sqrt,Mgha/year,FCC,H,percent,dm,0.2209653,0.277532,1,,
Fagaceae,Quercus,ilex,Height_Age,polynomial,m,Age,,year,,0.0058,0.0476,1.4616,,
Fagaceae,Quercus,ilex,Diameter_Age,polynomial,mm,Age,,year,,0.0218,0.5558,2.3856,,
Fagaceae,Quercus,ilex,Biomass_FCC_H,acos_sqrt,Mgha,FCC,H,percent,dm,0.3768846,1.5295796,1.0172503,,
Fagaceae,Quercus,ilex,IncBiomass_FCC_H,acos_sqrt,Mgha/year,FCC,H,percent,dm,0.0756024,1,1,,
Fagaceae,Quercus,coccifera,Height_Age,polynomial,m,Age,,year,,-0.00007,0.1011,0.2614,,
Fagaceae,Quercus,coccifera,Diameter_Age,polynomial,mm,Age,,year,,0.0068,0.9482,0.5985,,
Fagaceae,Quercus,coccifera,Biomass_FCC_H,acos_sqrt,Mgha,FCC,H,percent,dm,2.0135328,0.8191936,0.9125035,,
Fagaceae,Quercus,coccifera,IncBiomass_FCC_H,acos_sqrt,Mgha/year,FCC,H,percent,dm,5.570363,-0.353561,1.436201,,Only pure stands
Fagaceae,Quercus,coccifera,Biomass_Age,power,Mghayear,Age,,year,,4.211,0.841,,,
Anacardiaceae,Pistacia,lentiscus,Height_Age,polynomial,m,Age,,year,,-0.0003,0.00548,0.8119,,Only pure stands
Anacardiaceae,Pistacia,lentiscus,Diameter_Age,power,mm,Age,,year,,1.246,0.9504,,,
Anacardiaceae,Pistacia,lentiscus,Biomass_FCC_H,acos_sqrt,Mgha,FCC,H,percent,dm,2.5800701,0.8037841,1,,
Anacardiaceae,Pistacia,lentiscus,IncBiomass_FCC_H,exp_log,Mgha/year,FCC,H,percent,dm,-0.1694,0.3119,1.6414,0.6606,
Anacardiaceae,Pistacia,lentiscus,Biomass_Age,power,Mghayear,Age,,year,,5.5262,0.5641,,,
Oleaceae,Phillyrea,angustifolia,Diameter_Age,polynomial,mm,Age,,year,,0.0059,0.8805,2.8547,,
Ericaceae,Arbutus,unedo,Height_Age,polynomial,m,Age,,year,,0.0508,-2.9492,76.484,,
Myrtaceae,Myrtus,communis,Height_Age,polynomial,m,Age,,year,,0.0023,-0.0186,1.3475,,
Myrtaceae,Myrtus,communis,Diameter_Age,polynomial,mm,Age,,year,,-0.0095,0.7574,3.81,,
Rhamnaceae,Rhamnus,lycioides,Diameter_Age,polynomial,mm,Age,,year,,0.0416,-0.5795,13.825,,
Ericaceae,Rhododendron,ferrugineum,Biomass_FCC_H,acos_sqrt,Mgha,FCC,H,percent,dm,0.14436873,1,1,,
Ericaceae,Rhododendron,ferrugineum,IncBiomass_FCC_H,acos_sqrt,Mghayear,FCC,H,percent,dm,0.04661061,1,1,,
Ericaceae,Erica,arborea,Height_Age,polynomial,m,Age,,year,,-0.001,0.1099,8.577,,
Ericaceae,Erica,arborea,Biomass_FCC_H,acos_sqrt,Mgha,FCC,H,percent,dm,1.189603,1,1,,
Ericaceae,Erica,arborea,IncBiomass_FCC_H,acos_sqrt,Mgha,FCC,H,percent,dm,0.1871867,1,1,,Only pure stands
Ericaceae,Erica,arborea,Biomass_Age,power,Mgha,Age,,year,,9.9052,0.3435,,,
Ericaceae,Erica,australis,Height_Age,polynomial,m,Age,,year,,6.00E-17,0.04,0.65,,
Ericaceae,Erica,australis,Diameter_Age,polynomial,mm,Age,,year,,-0.0276,2.0494,-8.5839,,Only pure stands
Ericaceae,Erica,scoparia,Height_Age,power,m,Age,,year,,0.1322,0.7778,,,
Ericaceae,Erica,scoparia,Diameter_Age,polynomial,mm,Age,,year,,0.017,-0.1705,11.589,,
Ericaceae,Calluna,vulgaris,Diameter_Age,polynomial,mm,Age,,year,,-0.0035,0.8083,2.6451,,
Fabaceae,Cytisus,oromediterraneus,Diameter_Age,polynomial,mm,Age,,year,,-0.0213,1.8589,-0.6042,,
