"species_code","r1","r2","r3","family","genus","species"
"AF",8.042774,0.007198,-0.016163,"Pinaceae","Abies","lasiocarpa"
"AS",5,0,0,"Salicaceae","Populus","tremuloides"
"BM",5,0,0,"Aceraceae","Acer","macrophyllum"
"CH",5,0,0,"Pinaceae","Prunus","emarginata"
"CW",5,0,0,"Salicaceae","Populus","trichocarpa"
"DF",8.477025,-0.018033,-0.01814,"Pinaceae","Pseudotsuga","menziesii"
"DG",5,0,0,"Cornaceae","Cornus","nuttallii"
"ES",8.042774,0.007198,-0.016163,"Pinaceae","Picea","engelmannii"
"GC",5,0,0,"Fagaceae","Chrysolepis","chrysophylla"
"GF",8.042774,0.007198,-0.016163,"Pinaceae","Abies","grandis"
"HT",5,0,0,"Rosaceae","Crataegus","NA"
"IC",7.558538,-0.015637,-0.009064,"Cupressaceae","Calocedrus","decurrens"
"JP",6.489813,-0.029815,-0.009276,"Pinaceae","Pinus","jeffreyi"
"KP",6.489813,-0.029815,-0.009276,"Pinaceae","Pinus","attenuata"
"LL",6.489813,-0.029815,-0.009276,"Pinaceae","Larix","lyallii"
"LP",6.489813,-0.029815,-0.009276,"Pinaceae","Pinus","contorta"
"MH",5,0,0,"Pinaceae","Tsuga","mertensiana"
"NF",8.042774,0.007198,-0.016163,"Pinaceae","Abies","procera"
"OT",5,0,0,"NA","NA","NA"
"PB",5,0,0,"Betulaceae","Betula","papyrifera"
"PP",8.477025,-0.018033,-0.01814,"Pinaceae","Pinus","ponderosa"
"PY",6.489813,-0.029815,-0.009276,"Taxaceae","Taxus","brevifolia"
"RA",5,0,0,"Betulaceae","Alnus","rubra"
"RC",7.558538,-0.015637,-0.009064,"Cupressaceae","Thuja","plicata"
"RF",8.042774,0.007198,-0.016163,"Pinaceae","Abies","magnifica"
"SF",8.042774,0.007198,-0.016163,"Pinaceae","Abies","amabilis"
"SP",6.489813,-0.029815,-0.009276,"Pinaceae","Pinus","lambertiana"
"SS",8.042774,0.007198,-0.016163,"Pinaceae","Picea","sitchensis"
"WA",5,0,0,"Betulaceae","Alnus","rhombifolia"
"WB",6.489813,-0.029815,-0.009276,"Pinaceae","Pinus","albicaulis"
"WF",8.042774,0.007198,-0.016163,"Pinaceae","Abies","concolor"
"WH",7.558538,-0.015637,-0.009064,"Pinaceae","Tsuga","heterophylla"
"WI",5,0,0,"Salicaceae","Salix","Salix"
"WJ",9,0,0,"Pinaceae","Juniperus","occidentalis"
"WO",5,0,0,"Fagaceae","Quercus","garryana"
"WP",6.489813,-0.029815,-0.009276,"Pinaceae","Pinus","monticola"
"YC",7.558538,-0.015637,-0.009064,"Cupressaceae","Callitropsis","nootkatensis"
