"family","genus","species","b_0","b_1"
"Pinaceae","Pinus","banksiana",19.149,0.01307
"Pinaceae","Pinus","resinosa",24.848,0.01298
"Pinaceae","Pinus","strobus",0,0.01625
"Pinaceae","Pinus","ponderosa",24.848,0.01298
"Pinaceae","Picea","glauca",6.81,0.01611
"Pinaceae","Picea","mariana",0,0.01735
"Pinaceae","Abies","balsamea",4.658,0.01694
"Pinaceae","Tsuga","canadensis",0,0.01054
"Pinaceae","Larix","laricina",17.592,0.01427
"Cupressaceae","Juniperus","virginiana",17.167,0.01404
"Cupressaceae","Thuja","occidentalis",12.532,0.0156
"Malvaceae","Tilia","americana",36.821,0.01435
"Fagaceae","Fagus","grandifolia",56.5,0.01465
"Betulaceae","Betula","alleghaniensis",14.575,0.01766
"Oleaceae","Fraxinus","nigra",70.167,0.01015
"Oleaceae","Fraxinus","americana",65.124,0.01124
"Oleaceae","Fraxinus","pennsylvanica",65.124,0.01124
"Platanaceae","Platanus","occidentalis",34.832,0.01458
"Salicaceae","Populus","deltoides",34.832,0.01458
"Salicaceae","Salix","nigra",34.832,0.01458
"Salicaceae","Populus","balsamifera",17.978,0.01578
"Salicaceae","Populus","grandidentata",31.842,0.01483
"Salicaceae","Populus","tremuloides",29.329,0.0148
"Betulaceae","Betula","papyrifera",37.619,0.01404
"Betulaceae","Betula","nigra",34.832,0.01458
"Altingiaceae","Liquidambar","styraciflua",34.832,0.01458
"Nyssaceae","Nyssa","biflora",34.832,0.01458
"Rosaceae","Prunus","serotina",67.801,0.01109
"Juglandaceae","Juglans","nigra",67.801,0.01109
"Juglandaceae","Juglans","cinerea",67.801,0.01109
"Magnoliaceae","Liriodendron","tulipifera",67.801,0.01109
"Rosaceae","Crataegus",NA,36.341,0.01339
"Pinaceae","Pinus","sylvestris",17.167,0.01404
"Pinaceae","Pinus","nigra",17.167,0.01404
"Pinaceae","Larix","decidua",17.167,0.01404
"Pinaceae","Picea","abies",17.167,0.01404
"Pinaceae","Pseudotsuga","menziesii",17.167,0.01404
"Fagaceae","Quercus","alba",46.038,0.01173
"Fagaceae","Quercus","bicolor",46.038,0.01173
"Fagaceae","Quercus","macrocarpa",46.038,0.01173
"Fagaceae","Quercus","muehlenbergii",46.038,0.01173
"Fagaceae","Quercus","rubra",41.41,0.01326
"Fagaceae","Quercus","velutina",34.677,0.0137
"Fagaceae","Quercus","palustris",34.677,0.0137
"Fagaceae","Quercus","ellipsoidalis",34.677,0.0137
"Juglandaceae","Carya","cordiformis",57.449,0.01122
"Juglandaceae","Carya","ovata",57.449,0.01122
"Juglandaceae","Carya","glabra",57.449,0.01122
"Sapindaceae","Acer","nigrum",36.859,0.01534
"Sapindaceae","Acer","saccharum",36.859,0.01534
"Sapindaceae","Acer","rubrum",63.992,0.01215
"Sapindaceae","Acer","saccharinum",63.992,0.01215
"Ulmaceae","Ulmus","americana",28.875,0.01466
"Ulmaceae","Ulmus","rubra",28.875,0.01466
"Ulmaceae","Ulmus","thomasii",28.875,0.01466
"Cannabaceae","Celtis","occidentalis",28.875,0.01466
"Sapindaceae","Acer","pensylvanicum",36.341,0.01339
"Sapindaceae","Acer","spicatum",36.341,0.01339
"Betulaceae","Carpinus","caroliniana",36.341,0.01339
"Betulaceae","Ostrya","virginiana",36.341,0.01339
"Accipitridae","Circus","canadensis",36.341,0.01339
"Rosaceae","Prunus","pensylvanicum",36.341,0.01339
"Rosaceae","Prunus","virginiana",36.341,0.01339
"Rosaceae","Sorbus","americana",36.341,0.01339
