"family","genus","species","b_1","b_2","b_3","b_4"
"Pinaceae","Pinus","resinosa",122.77,0.4148,-2.397e-05,2.724
"Pinaceae","Pinus","strobus",122.77,0.4148,-2.397e-05,2.724
"Pinaceae","Pinus","banksiana",122.77,0.4148,-2.397e-05,2.724
"Pinaceae","Pinus","sylvestris",122.77,0.4148,-2.397e-05,2.724
"Pinaceae","Pinus","echinata",122.58,0.2068,-5.767e-05,2.772
"Pinaceae","Pinus","virginiana",122.58,0.2068,-5.767e-05,2.772
"Pinaceae","Pinus","taeda",122.58,0.2068,-5.767e-05,2.772
"Cupressaceae","Thuja","occidentalis",454.13,0.1367,-2.547e-05,2.625
"Pinaceae","Larix","laricina",454.13,0.1367,-2.547e-05,2.625
"Pinaceae","Tsuga","canadensis",454.13,0.1367,-2.547e-05,2.625
"Pinaceae","Abies","balsamea",454.13,0.1367,-2.547e-05,2.625
"Pinaceae","Picea","glauca",454.13,0.1367,-2.547e-05,2.625
"Pinaceae","Picea","mariana",454.13,0.1367,-2.547e-05,2.625
"Cupressaceae","Taxodium","distichum",337.22,0.1158,-8.18e-06,3.2
"Cupressaceae","Juniperus","virginiana",112.59,0.125,-0.00010633,2.626
"Fagaceae","Quercus","alba",138.51,0.1769,-7.041e-05,2.667
"Fagaceae","Quercus","macrocarpa",138.51,0.1769,-7.041e-05,2.667
"Fagaceae","Quercus","muehlenbergii",138.51,0.1769,-7.041e-05,2.667
"Fagaceae","Quercus","bicolor",138.51,0.1769,-7.041e-05,2.667
"Fagaceae","Quercus","michauxii",138.51,0.1769,-7.041e-05,2.667
"Fagaceae","Quercus","stellata",146.07,0.2422,-5.269e-05,2.632
"Fagaceae","Quercus","prinus",146.07,0.2422,-5.269e-05,2.632
"Fagaceae","Quercus","lyrata",146.07,0.2422,-5.269e-05,2.632
"Fagaceae","Quercus","rubra",167.98,0.2828,-4.617e-05,2.59
"Fagaceae","Quercus","pagoda",167.98,0.2828,-4.617e-05,2.59
"Fagaceae","Quercus","shumardii",167.98,0.2828,-4.617e-05,2.59
"Fagaceae","Quercus","velutina",151.65,0.2597,-4.408e-05,2.672
"Fagaceae","Quercus","coccinea",151.65,0.2597,-4.408e-05,2.672
"Fagaceae","Quercus","palustris",151.65,0.2597,-4.408e-05,2.672
