family,genus,species,a,b,c
Pinaceae,Abies,concolor,-10.0535,1.596,1.345
Pinaceae,Abies,grandis,-9.1826,1.5459,1.173
Pinaceae,Abies,lasiocarpa,-9.8457,1.7032,1.148
Pinaceae,Abies,magnifica,-10.267,1.6937,1.308
Cupressaceae,Chamaecyparis,nootkatensis,-9.6022,1.8398,0.95
Pinaceae,Larix,occidentalis,-11.3275,1.9347,1.334
Cupressaceae,Calocedrus,decurrens,-9.6396,1.6648,1.08
Pinaceae,Picea,,-10.3812,1.8241,1.188
Pinaceae,Picea,engelmannii,-10.3011,1.688,1.321
Pinaceae,Picea,glauca,-10.5658,2.1248,0.894
Pinaceae,Picea,sitchensis,-10.1366,1.864,1.083
Pinaceae,Pinus,contorta,-10.0258,1.858,1.063
Pinaceae,Pinus,flexilis,-11.4217,2.1371,1.197
Pinaceae,Pinus,jeffreyi,-10.4643,2.0332,0.941
Pinaceae,Pinus,lambertiana,-10.6985,2.4396,0.489
Pinaceae,Pinus,monticola,-9.5997,1.4028,1.411
Pinaceae,Pinus,ponderosa,-10.5808,2.111,0.912
Pinaceae,Pseudotsuga,menziesii,-9.5504,1.742,1.021
Cupressaceae,Sequoia,sempervirens,-10.7638,2.0497,0.947
Cupressaceae,Thuja,plicata,-9.5468,2.0363,0.66
Pinaceae,Tsuga,,-9.4684,1.8321,0.936
Pinaceae,Tsuga,heterophylla,-9.9763,1.9583,0.925
Pinaceae,Tsuga,mertensiana,-10.9806,1.8803,1.302
Betulaceae,Alnus,rubra,-10.3462,2.0513,0.944
Salicaceae,Populus,tremuloides,-10.7487,1.8981,1.24
