"family","genus","species","s"
"Pinaceae","Pinus","banksiana",0.007017
"Pinaceae","Pinus","resinosa",0.007176
"Pinaceae","Pinus","strobus",0.008269
"Pinaceae","Pinus","ponderosa",0.007176
"Pinaceae","Picea","glauca",0.010699
"Pinaceae","Picea","mariana",0.008877
"Pinaceae","Abies","balsamea",0.009967
"Pinaceae","Tsuga","canadensis",0.008579
"Pinaceae","Larix","laricina",0.008877
"Cupressaceae","Juniperus","virginiana",0.008877
"Cupressaceae","Thuja","occidentalis",0.011946
"Malvaceae","Tilia","americana",0.009639
"Fagaceae","Fagus","grandifolia",0.010202
"Betulaceae","Betula","alleghaniensis",0.009968
"Oleaceae","Fraxinus","nigra",0.011016
"Oleaceae","Fraxinus","americana",0.008728
"Oleaceae","Fraxinus","pennsylvanica",0.008728
"Platanaceae","Platanus","occidentalis",0.00898
"Salicaceae","Populus","deltoides",0.011145
"Salicaceae","Salix","nigra",0.011145
"Salicaceae","Populus","balsamifera",0.006594
"Salicaceae","Populus","grandidentata",0.006594
"Salicaceae","Populus","tremuloides",0.007369
"Betulaceae","Betula","papyrifera",0.00838
"Betulaceae","Betula","nigra",0.00838
"Altingiaceae","Liquidambar","styraciflua",0.00898
"Nyssaceae","Nyssa","biflora",0.00898
"Rosaceae","Prunus","serotina",0.00898
"Juglandaceae","Juglans","nigra",0.00898
"Juglandaceae","Juglans","cinerea",0.00898
"Magnoliaceae","Liriodendron","tulipifera",0.00898
"Rosaceae","Crataegus",NA,0.00898
"Pinaceae","Pinus","sylvestris",0.008877
"Pinaceae","Pinus","nigra",0.008877
"Pinaceae","Larix","decidua",0.008877
"Pinaceae","Picea","abies",0.008877
"Pinaceae","Pseudotsuga","menziesii",0.008877
"Fagaceae","Quercus","alba",0.009727
"Fagaceae","Quercus","bicolor",0.009727
"Fagaceae","Quercus","macrocarpa",0.009727
"Fagaceae","Quercus","muehlenbergii",0.009727
"Fagaceae","Quercus","rubra",0.008908
"Fagaceae","Quercus","velutina",0.00898
"Fagaceae","Quercus","palustris",0.00898
"Fagaceae","Quercus","ellipsoidalis",0.00898
"Juglandaceae","Carya","cordiformis",0.00898
"Juglandaceae","Carya","ovata",0.00898
"Juglandaceae","Carya","glabra",0.00898
"Sapindaceae","Acer","nigrum",0.008894
"Sapindaceae","Acer","saccharum",0.008894
"Sapindaceae","Acer","rubrum",0.008476
"Sapindaceae","Acer","saccharinum",0.008476
"Ulmaceae","Ulmus","americana",0.010422
"Ulmaceae","Ulmus","rubra",0.010422
"Ulmaceae","Ulmus","thomasii",0.010422
"Cannabaceae","Celtis","occidentalis",0.01042
"Sapindaceae","Acer","pensylvanicum",0.00898
"Sapindaceae","Acer","spicatum",0.00898
"Betulaceae","Carpinus","caroliniana",0.00898
"Betulaceae","Ostrya","virginiana",0.00898
"Accipitridae","Circus","canadensis",0.00898
"Rosaceae","Prunus","pensylvanicum",0.00898
"Rosaceae","Prunus","virginiana",0.00898
"Rosaceae","Sorbus","americana",0.00898
